record_id,entities,exact_match,text_found_at_other_position,entity_text_not_found_in_current_passage
110,16,11,2,3
111,14,2,12,0
112,23,22,0,1
113,27,4,23,0
114,7,5,1,1
115,14,13,1,0
116,39,9,29,1
117,10,10,0,0
118,10,9,0,1
120,22,21,0,1
121,10,9,0,1
122,13,13,0,0
124,21,2,19,0
125,20,4,16,0
126,11,4,7,0
127,23,23,0,0
130,16,1,15,0
131,29,29,0,0
132,10,4,6,0
133,40,7,32,1
134,14,13,0,1
135,5,3,2,0
136,18,9,9,0
137,10,4,6,0
138,12,5,5,2
140,10,9,1,0
141,74,0,71,3
142,96,1,86,9
143,62,10,49,3
144,55,9,44,2
146,89,6,79,4
147,64,9,51,4
148,54,7,43,4
149,11,11,0,0
150,82,22,53,7
151,54,1,52,1
152,71,60,6,5
153,112,7,95,10
154,96,3,88,5
155,95,14,76,5
156,61,32,28,1
157,94,5,83,6
158,44,14,30,0
160,92,0,85,7
161,47,1,45,1
162,48,1,45,2
163,68,0,63,5
164,43,6,32,5
165,48,0,45,3
166,46,1,41,4
167,33,0,32,1
168,50,0,41,9
169,55,55,0,0
170,27,4,22,1
171,79,1,71,7
172,32,5,26,1
173,43,1,37,5
174,28,1,24,3
175,38,18,16,4
176,54,5,44,5
177,40,40,0,0
178,19,8,11,0
179,4,2,1,1
180,23,3,19,1
181,21,10,11,0
182,4,3,1,0
183,15,13,2,0
184,11,1,10,0
187,8,4,4,0
188,16,1,13,2
189,20,14,6,0
190,22,0,21,1
191,40,0,37,3
192,11,3,8,0
193,13,12,1,0
194,26,0,23,3
195,57,30,27,0
196,16,0,15,1
197,23,0,21,2
198,35,14,20,1
199,12,4,7,1
200,6,0,6,0
201,9,5,4,0
202,19,0,17,2
203,13,4,9,0
205,22,10,12,0
207,13,2,11,0
208,12,11,1,0
209,23,1,18,4
210,20,0,20,0
211,36,0,32,4
212,19,7,12,0
215,20,0,19,1
216,15,5,9,1
217,18,1,15,2
219,14,0,13,1
220,17,1,15,1
221,19,0,19,0
222,20,5,14,1
223,26,0,23,3
224,14,6,8,0
225,32,3,26,3
226,25,3,22,0
228,25,8,17,0
229,8,0,8,0
231,23,0,22,1
232,29,1,28,0
233,16,2,14,0
234,7,0,7,0
235,13,0,12,1
236,15,0,14,1
237,22,0,21,1
238,22,0,20,2
239,6,0,5,1
240,17,12,5,0
241,19,0,19,0
242,11,0,10,1
243,23,1,22,0
244,29,4,23,2
245,6,6,0,0
246,13,0,13,0
248,40,2,35,3
249,11,1,9,1
250,19,1,17,1
251,30,5,24,1
252,16,4,12,0
253,18,0,17,1
254,10,0,9,1
255,14,1,12,1
256,24,0,24,0
257,19,0,17,2
260,43,7,28,8
266,30,13,13,4
267,17,5,12,0
268,13,13,0,0
270,12,4,8,0
271,35,8,26,1
272,22,1,19,2
273,12,0,12,0
274,26,0,25,1
275,10,10,0,0
276,15,11,4,0
277,13,0,12,1
279,10,2,8,0
280,22,4,18,0
281,12,0,11,1
282,32,3,28,1
284,9,9,0,0
285,17,1,15,1
286,11,7,4,0
287,12,1,11,0
288,9,2,6,1
289,29,15,13,1
290,29,1,26,2
291,10,0,10,0
292,41,18,22,1
293,10,3,7,0
296,2,1,1,0
298,8,0,8,0
300,4,1,3,0
301,13,12,0,1
303,9,4,5,0
304,24,6,16,2
305,8,0,7,1
307,23,18,5,0
308,14,0,14,0
311,8,0,8,0
312,12,2,10,0
314,16,1,15,0
315,10,5,4,1
316,8,2,5,1
318,44,3,41,0
319,23,7,16,0
321,27,3,24,0
322,15,0,14,1
323,10,1,9,0
324,31,14,16,1
325,23,7,16,0
326,23,0,23,0
327,23,23,0,0
328,23,12,11,0
329,21,0,21,0
330,25,15,10,0
331,60,1,59,0
333,27,1,24,2
334,20,5,15,0
335,36,2,33,1
336,14,0,14,0
337,15,0,15,0
338,19,0,19,0
339,15,0,14,1
340,15,0,15,0
341,33,12,20,1
342,13,1,11,1
343,24,9,15,0
344,7,0,6,1
345,22,0,18,4
346,39,0,38,1
347,11,0,11,0
348,22,0,22,0
349,31,1,29,1
350,9,0,9,0
351,10,1,9,0
352,33,12,19,2
353,20,0,17,3
354,42,1,39,2
355,11,0,10,1
356,27,1,25,1
357,25,1,23,1
358,8,0,8,0
359,12,0,12,0
361,10,0,9,1
363,21,5,16,0
364,27,22,3,2
365,12,8,4,0
366,8,3,5,0
367,61,1,57,3
368,1,0,1,0
369,37,0,34,3
370,65,1,61,3
371,35,33,0,2
372,43,13,27,3
373,28,1,26,1
374,58,55,0,3
375,64,39,22,3
376,36,12,23,1
377,36,11,23,2
378,72,45,25,2
379,39,9,27,3
380,33,17,15,1
381,36,29,5,2
382,27,10,15,2
383,37,35,0,2
385,31,1,28,2
386,1,1,0,0
387,10,0,9,1
389,31,30,0,1
390,20,2,16,2
391,35,0,29,6
392,17,3,11,3
393,38,1,33,4
394,22,0,20,2
395,29,0,27,2
396,26,8,16,2
397,26,3,22,1
398,14,5,9,0
399,30,0,26,4
400,23,0,22,1
401,32,0,32,0
402,12,0,10,2
403,19,13,6,0
404,23,0,19,4
406,14,0,14,0
407,39,7,30,2
408,20,17,3,0
409,13,1,12,0
411,19,2,16,1
413,60,58,1,1
414,56,2,44,10
415,42,5,34,3
416,48,9,36,3
417,61,26,28,7
418,119,22,89,8
419,38,5,32,1
420,65,33,29,3
421,63,13,44,6
422,67,12,54,1
423,66,7,58,1
424,26,12,14,0
425,39,21,16,2
426,54,31,16,7
427,46,11,33,2
428,46,1,37,8
429,77,15,57,5
430,34,9,24,1
431,12,12,0,0
432,10,0,9,1
433,6,0,6,0
436,12,5,5,2
437,8,8,0,0
438,8,8,0,0
439,7,3,3,1
440,8,7,1,0
443,32,26,5,1
444,5,1,4,0
446,8,2,6,0
447,10,6,4,0
449,37,5,30,2
450,8,2,6,0
451,6,6,0,0
453,18,5,12,1
454,34,13,20,1
455,4,3,1,0
456,9,1,8,0
457,14,14,0,0
459,7,7,0,0
461,14,8,6,0
462,7,6,1,0
463,7,1,6,0
467,23,2,20,1
468,32,11,20,1
471,32,12,20,0
472,8,6,2,0
473,14,9,5,0
474,13,0,13,0
475,11,7,4,0
476,11,1,9,1
477,16,0,16,0
479,33,3,27,3
480,21,9,12,0
481,18,1,17,0
482,37,10,25,2
483,30,0,28,2
484,18,0,18,0
485,26,22,3,1
486,31,0,28,3
487,43,0,41,2
488,24,14,9,1
490,20,0,19,1
491,14,10,3,1
492,13,1,10,2
493,27,0,26,1
494,32,18,14,0
496,10,1,9,0
497,32,30,0,2
498,5,3,2,0
501,15,15,0,0
502,21,21,0,0
503,82,34,43,5
504,13,13,0,0
506,24,3,21,0
507,46,19,26,1
508,18,14,4,0
509,24,13,10,1
510,17,1,16,0
511,19,18,1,0
512,12,11,0,1
514,11,9,0,2
515,15,15,0,0
516,8,8,0,0
519,11,10,0,1
521,9,9,0,0
522,8,8,0,0
524,10,10,0,0
525,17,16,0,1
526,6,6,0,0
527,3,3,0,0
528,5,1,4,0
529,11,0,11,0
530,4,4,0,0
531,2,0,2,0
532,24,0,23,1
533,29,0,23,6
534,36,1,33,2
535,41,0,38,3
536,22,0,20,2
537,27,0,25,2
538,38,2,33,3
539,36,0,36,0
540,25,0,21,4
541,5,2,3,0
542,32,9,21,2
543,41,0,37,4
544,23,0,21,2
545,27,2,19,6
546,9,1,8,0
547,21,0,19,2
548,9,6,2,1
549,10,8,0,2
550,23,8,12,3
551,19,1,18,0
552,27,6,20,1
553,20,4,16,0
554,27,8,15,4
555,20,2,17,1
556,27,1,25,1
557,28,0,25,3
559,20,0,20,0
560,31,0,29,2
561,22,6,14,2
562,38,18,20,0
563,21,0,19,2
564,28,1,27,0
566,17,0,16,1
568,29,1,28,0
569,18,10,8,0
570,11,1,9,1
571,15,3,9,3
572,29,26,0,3
573,9,2,6,1
574,3,0,3,0
575,13,3,9,1
576,5,0,4,1
577,41,41,0,0
579,30,3,25,2
580,20,1,19,0
581,32,0,32,0
582,31,11,20,0
583,31,0,25,6
584,7,0,7,0
585,19,0,17,2
586,11,0,10,1
587,9,0,8,1
588,3,0,3,0
589,33,5,26,2
591,77,17,59,1
592,26,12,14,0
593,40,3,37,0
594,23,1,22,0
595,50,0,49,1
597,9,3,6,0
598,56,11,36,9
599,56,11,44,1
600,30,24,6,0
601,59,1,58,0
602,47,12,35,0
603,35,1,31,3
604,48,9,36,3
605,13,8,3,2
606,28,1,27,0
607,23,15,8,0
608,40,1,38,1
609,21,4,17,0
611,30,20,10,0
612,23,3,18,2
613,46,1,43,2
614,12,2,9,1
615,8,7,1,0
616,31,0,30,1
617,17,1,16,0
618,62,48,12,2
619,23,8,15,0
620,65,35,28,2
621,10,10,0,0
622,27,23,3,1
623,16,5,11,0
624,9,0,9,0
625,14,0,14,0
626,12,1,10,1
627,8,1,7,0
628,10,0,9,1
629,18,3,13,2
630,15,8,5,2
631,11,0,10,1
632,17,17,0,0
633,10,7,3,0
634,13,9,4,0
635,24,3,20,1
636,16,3,13,0
637,9,1,8,0
638,14,0,13,1
639,16,4,12,0
640,12,0,12,0
641,13,0,13,0
642,15,2,12,1
643,23,1,21,1
644,21,8,13,0
645,18,4,14,0
646,18,0,17,1
647,11,4,7,0
648,8,4,4,0
649,12,12,0,0
650,13,1,12,0
651,2,2,0,0
652,8,7,0,1
653,10,3,7,0
654,14,0,13,1
656,13,3,9,1
657,7,1,5,1
659,4,4,0,0
660,12,1,11,0
661,3,3,0,0
664,10,0,10,0
665,11,11,0,0
669,5,0,5,0
670,15,6,8,1
671,10,10,0,0
672,4,1,3,0
673,2,2,0,0
674,3,3,0,0
677,8,6,2,0
678,29,9,20,0
679,30,0,30,0
681,48,3,45,0
682,52,21,29,2
683,34,33,1,0
684,45,15,25,5
685,30,8,22,0
686,43,29,10,4
687,38,37,0,1
688,36,33,2,1
689,41,7,33,1
690,24,18,6,0
691,40,27,11,2
692,60,34,26,0
693,48,25,22,1
694,13,13,0,0
696,10,3,7,0
697,28,25,2,1
698,15,0,15,0
699,17,11,6,0
700,22,1,20,1
701,20,12,8,0
702,31,6,25,0
703,23,5,17,1
705,30,10,18,2
706,26,19,6,1
707,20,14,6,0
708,34,3,30,1
709,22,10,12,0
710,29,1,27,1
711,20,17,2,1
712,28,20,8,0
713,7,0,5,2
718,8,7,0,1
719,12,8,4,0
722,4,4,0,0
723,11,10,0,1
726,17,17,0,0
729,4,0,4,0
732,21,12,7,2
733,62,4,56,2
734,8,0,8,0
735,55,18,33,4
737,54,14,39,1
738,29,1,28,0
739,17,8,6,3
740,21,5,16,0
741,36,10,25,1
742,54,12,39,3
743,21,2,17,2
744,45,0,43,2
745,11,0,11,0
746,16,0,14,2
747,21,11,9,1
748,52,9,40,3
749,17,3,13,1
750,38,18,16,4
751,19,0,17,2
752,21,0,21,0
753,24,7,17,0
754,27,3,22,2
756,38,1,34,3
757,17,3,14,0
759,4,3,1,0
767,12,12,0,0
771,18,0,16,2
773,57,0,55,2
776,9,8,0,1
779,20,17,0,3
783,83,3,79,1
785,76,1,72,3
786,9,1,6,2
787,91,59,30,2
789,123,26,96,1
790,93,0,90,3
791,82,7,73,2
792,7,0,4,3
793,97,7,87,3
794,96,1,92,3
796,74,1,69,4
798,77,21,53,3
