item,panel,series,category,n,count,mean,sd,numerator,denominator,rate_percent,ci95_low,ci95_high,archive_source,interpretation
Fig6,,type_derived_label,L2 Understand,,26979,,,,,,,,bloom_annotation_stats.json,deterministic type-to-label distribution
Fig6,,type_derived_label,L3 Apply,,13880,,,,,,,,bloom_annotation_stats.json,deterministic type-to-label distribution
Fig6,,type_derived_label,L4 Analyse,,47,,,,,,,,bloom_annotation_stats.json,deterministic type-to-label distribution
Fig6,,type_derived_label,L5 Evaluate,,9667,,,,,,,,bloom_annotation_stats.json,deterministic type-to-label distribution
Fig6,,type_derived_label,L6 Create,,9681,,,,,,,,bloom_annotation_stats.json,deterministic type-to-label distribution
Fig8,,automatic_judge,A co-occurrence,75,,,,20,75,26.7,18.0,37.6,ablation_judged.jsonl,independent candidate sample
Fig8,,automatic_judge,B heuristics,75,,,,28,75,37.3,27.3,48.7,ablation_judged.jsonl,independent candidate sample
Fig8,,automatic_judge,C similarity rank,75,,,,20,75,26.7,18.0,37.6,ablation_judged.jsonl,independent candidate sample
Fig8,,automatic_judge,D LLM-positive set,75,,,,54,75,72.0,61.0,80.9,ablation_judged.jsonl,independent candidate sample
Fig9,,operational_output,A retained candidates,,2234,,,,,,,,swrl/output/rules_a_filtered_v2.jsonl,unvalidated derived candidates
Fig9,,operational_output,B legacy combined candidates,,49099,,,,,,,,swrl/output/rules_b_all.jsonl,legacy candidates without per-rule provenance
Fig9,,operational_output,C review flags,,341,,,,,,,,swrl/output/rules_c_results.jsonl,unadjudicated review flags
Fig9,,operational_output,D general-user view,,4417,,,,,,,,swrl/output/rules_d_view_patient.jsonl,visible asserted triples
Fig9,,operational_output,D professional view,,33805,,,,,,,,swrl/output/rules_d_view_clinician.jsonl,visible asserted triples
Fig9,,operational_output,D researcher view,,33805,,,,,,,,swrl/output/rules_d_view_researcher.jsonl,visible asserted triples
Fig11,a,CMFKG,General user,10,,81.5,14.5,,,,,,reported Table 12 summary,task-accuracy group mean and SD; participant rows unavailable
Fig11,a,CMFKG-Single,General user,10,,64.2,14.5,,,,,,reported Table 12 summary,task-accuracy group mean and SD; participant rows unavailable
Fig11,a,CMFKG,TCM professional,10,,86.4,9.8,,,,,,reported Table 12 summary,task-accuracy group mean and SD; participant rows unavailable
Fig11,a,CMFKG-Single,TCM professional,10,,79.2,12.5,,,,,,reported Table 12 summary,task-accuracy group mean and SD; participant rows unavailable
Fig11,a,CMFKG,Researcher,9,,91.4,5.8,,,,,,reported Table 12 summary,task-accuracy group mean and SD; participant rows unavailable
Fig11,a,CMFKG-Single,Researcher,9,,86.0,7.2,,,,,,reported Table 12 summary,task-accuracy group mean and SD; participant rows unavailable
Fig11,b,CMFKG,General user,10,,34.5,9.8,,,,,,reported Table 12 summary,weighted NASA-TLX group mean and SD; participant rows unavailable
Fig11,b,CMFKG-Single,General user,10,,54.3,10.2,,,,,,reported Table 12 summary,weighted NASA-TLX group mean and SD; participant rows unavailable
Fig11,b,CMFKG,TCM professional,10,,32.1,12.3,,,,,,reported Table 12 summary,weighted NASA-TLX group mean and SD; participant rows unavailable
Fig11,b,CMFKG-Single,TCM professional,10,,42.4,11.8,,,,,,reported Table 12 summary,weighted NASA-TLX group mean and SD; participant rows unavailable
Fig11,b,CMFKG,Researcher,9,,33.0,12.5,,,,,,reported Table 12 summary,weighted NASA-TLX group mean and SD; participant rows unavailable
Fig11,b,CMFKG-Single,Researcher,9,,38.2,13.1,,,,,,reported Table 12 summary,weighted NASA-TLX group mean and SD; participant rows unavailable
Table12,,CMFKG,Overall task accuracy,29,,86.4,10.7,,,,,,reported Table 12 summary,participant rows unavailable
Table12,,CMFKG-Single,Overall task accuracy,29,,76.5,15.3,,,,,,reported Table 12 summary,participant rows unavailable
Table12,,CMFKG,Overall weighted NASA-TLX,29,,33.2,11.4,,,,,,reported Table 12 summary,participant rows unavailable
Table12,,CMFKG-Single,Overall weighted NASA-TLX,29,,44.8,12.6,,,,,,reported Table 12 summary,participant rows unavailable
