participant_id,randomization_seed,randomization_method,assigned_sequence,period1_system_blind_code,period2_system_blind_code,period1_task_set,period2_task_set,assigned_by_code,assignment_date,allocation_concealed_until,deviation,deviation_reason
P021,20282450.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-14,2026-06-27,N,
P022,20322748.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-14,2026-06-27,N,
P023,20356030.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-15,2026-06-27,N,
P024,20320582.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-15,2026-06-27,N,
P025,20300424.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-18,2026-06-27,N,
P026,20283645.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-18,2026-06-27,N,
P027,20350039.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-18,2026-06-27,N,
P028,20319771.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-18,2026-06-27,N,
P029,20294051.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-18,2026-06-27,N,
P030,20333705.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-18,2026-06-27,N,
P031,20292017.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-19,2026-06-27,N,
P032,20353841.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-19,2026-06-27,N,
P033,20291982.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-20,2026-06-27,N,
P034,20312199.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-20,2026-06-27,N,
P035,20305762.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-21,2026-06-27,N,
P036,20271481.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-21,2026-06-27,N,
P037,20343806.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-22,2026-06-27,N,
P038,20291617.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-22,2026-06-27,N,
P039,20260862.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-25,2026-06-27,N,
P040,20343361.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-25,2026-06-27,N,
P041,20299038.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-25,2026-06-27,N,
P042,20304984.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-25,2026-06-27,N,
P043,20294238.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-25,2026-06-27,N,
P044,,Not randomized (prespecified pre-randomization exclusion),,,,,,COORDINATOR,2026-04-02,2026-06-27,Y,schedule_conflict
P045,20293461.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-25,2026-06-27,N,
P046,20276175.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-26,2026-06-27,N,
P047,20310261.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-26,2026-06-27,N,
P048,20263263.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-27,2026-06-27,N,
P049,20291487.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-27,2026-06-27,N,
P050,20299587.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-28,2026-06-27,N,
P051,20331658.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-28,2026-06-27,N,
P052,20297265.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-29,2026-06-27,N,
P053,20314492.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-29,2026-06-27,N,
P054,20273432.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-02,2026-06-27,N,
P055,20292000.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-02,2026-06-27,N,
P056,20317410.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-02,2026-06-27,N,
P057,20292019.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-02,2026-06-27,N,
P058,20303572.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-02,2026-06-27,N,
P059,20353962.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-02,2026-06-27,N,
P060,20343558.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-03,2026-06-27,N,
P061,20301836.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-03,2026-06-27,N,
P062,20330609.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-04,2026-06-27,N,
P063,20335731.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-04,2026-06-27,N,
P064,20310633.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-05,2026-06-27,N,
P065,20304142.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-05,2026-06-27,N,
P066,20268026.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-06,2026-06-27,N,
P067,20347635.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-06,2026-06-27,N,
P068,20298699.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-09,2026-06-27,N,
P069,20329501.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-09,2026-06-27,N,
P070,20262349.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-09,2026-06-27,N,
P071,,Not randomized (prespecified pre-randomization exclusion),,,,,,COORDINATOR,2026-04-05,2026-06-27,Y,technical_requirements
P072,20344897.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-09,2026-06-27,N,
P073,20351897.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-09,2026-06-27,N,
P074,20277542.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-09,2026-06-27,N,
P075,20347301.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-10,2026-06-27,N,
P076,20267795.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-10,2026-06-27,N,
P077,20300050.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-11,2026-06-27,N,
P078,20285486.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-11,2026-06-27,N,
P079,20318537.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-12,2026-06-27,N,
P080,20316217.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-12,2026-06-27,N,
P081,20302331.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-13,2026-06-27,N,
P082,20327473.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-13,2026-06-27,N,
P083,20288374.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-16,2026-06-27,N,
P084,20335202.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-16,2026-06-27,N,
P085,20341803.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-16,2026-06-27,N,
P086,20289070.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-16,2026-06-27,N,
P087,20272382.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-16,2026-06-27,N,
P088,20311201.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-16,2026-06-27,N,
P089,20323182.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-17,2026-06-27,N,
P090,20355182.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-17,2026-06-27,N,
P091,20321051.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-18,2026-06-27,N,
P092,20285898.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-18,2026-06-27,N,
P093,20353049.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-19,2026-06-27,N,
P094,20289576.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-19,2026-06-27,N,
P095,,Not randomized (prespecified pre-randomization exclusion),,,,,,COORDINATOR,2026-04-05,2026-06-27,Y,duplicate_registration
P096,20315951.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-20,2026-06-27,N,
P097,20273176.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-20,2026-06-27,N,
P098,20326428.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-23,2026-06-27,N,
P099,20347978.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-23,2026-06-27,N,
P100,20282375.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-23,2026-06-27,N,
P101,20299492.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-23,2026-06-27,N,
P102,20315321.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-05-23,2026-06-27,N,
P103,20330643.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-05-23,2026-06-27,N,
P104,20266069.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-05-24,2026-06-27,N,
P105,20267855.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-05-24,2026-06-27,N,
P106,,Not randomized (prespecified pre-randomization exclusion),,,,,,COORDINATOR,2026-04-04,2026-06-27,Y,withdrawn_before_randomization
