model,sample_id,source_key,raw_chars,cleaned_chars,reference_chars,entity_reference_count,entity_raw_count,entity_raw_tp,entity_raw_fp,entity_raw_fn,entity_raw_stability_precision,entity_raw_stability_recall,entity_raw_stability_f1,entity_cleaned_count,entity_cleaned_tp,entity_cleaned_fp,entity_cleaned_fn,entity_cleaned_stability_precision,entity_cleaned_stability_recall,entity_cleaned_stability_f1,relation_reference_count,relation_raw_count,relation_raw_tp,relation_raw_fp,relation_raw_fn,relation_raw_stability_precision,relation_raw_stability_recall,relation_raw_stability_f1,relation_cleaned_count,relation_cleaned_tp,relation_cleaned_fp,relation_cleaned_fn,relation_cleaned_stability_precision,relation_cleaned_stability_recall,relation_cleaned_stability_f1,rule_reference_count,rule_raw_count,rule_raw_tp,rule_raw_fp,rule_raw_fn,rule_raw_stability_precision,rule_raw_stability_recall,rule_raw_stability_f1,rule_cleaned_count,rule_cleaned_tp,rule_cleaned_fp,rule_cleaned_fn,rule_cleaned_stability_precision,rule_cleaned_stability_recall,rule_cleaned_stability_f1
Chinese-RoBERTa-CRF_archived,OCR-0001,13 食宪鸿秘,210,204,204,29,25,24,1,5,0.96,0.8275862068965517,0.888888888888889,28,28,0,1,1.0,0.9655172413793104,0.9824561403508771,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0003,8996f7340uae72fc4f9f641ea0edcd19,416,311,311,1,0,0,0,1,0.0,0.0,0.0,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0004,8e39fed12o25fb8578276afd09e356f0,104,96,96,2,2,2,0,0,1.0,1.0,1.0,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0005,中国烹饪古籍丛书33种/02 易牙遗意,355,274,274,33,37,30,7,3,0.8108108108108109,0.9090909090909091,0.8571428571428571,33,33,0,0,1.0,1.0,1.0,247,308,203,105,44,0.6590909090909091,0.8218623481781376,0.7315315315315315,247,247,0,0,1.0,1.0,1.0,12,111,0,111,12,0.0,0.0,0.0,12,12,0,0,1.0,1.0,1.0
Chinese-RoBERTa-CRF_archived,OCR-0006,中国烹饪古籍丛书33种/04 醒园录,294,238,238,10,12,9,3,1,0.75,0.9,0.8181818181818182,10,10,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0007,中国烹饪古籍丛书33种/05 随园食单,338,349,349,5,5,5,0,0,1.0,1.0,1.0,5,5,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0008,中国烹饪古籍丛书33种/06 素食说略,143,140,140,2,2,1,1,1,0.5,0.5,0.5,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0010,中国烹饪古籍丛书33种/08 养小录,307,294,294,20,21,15,6,5,0.7142857142857143,0.75,0.7317073170731706,20,20,0,0,1.0,1.0,1.0,18,0,0,0,18,0.0,0.0,0.0,18,18,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0011,中国烹饪古籍丛书33种/09 千金食治  食疗方,545,539,539,43,42,28,14,15,0.6666666666666666,0.6511627906976745,0.6588235294117646,42,41,1,2,0.9761904761904762,0.9534883720930233,0.9647058823529412,274,298,124,174,150,0.4161073825503356,0.45255474452554745,0.43356643356643365,270,260,10,14,0.9629629629629629,0.948905109489051,0.9558823529411765,152,144,50,94,102,0.3472222222222222,0.32894736842105265,0.33783783783783783,152,142,10,10,0.9342105263157895,0.9342105263157895,0.9342105263157895
Chinese-RoBERTa-CRF_archived,OCR-0037,千金翼方.三十卷.唐.孙思邈撰.清光绪四年景元大德梅溪书院本,113,73,73,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0038,"古刻新韵 野菜博录 (（明）鲍山编, 鮑山 etc.) (z-library.sk, 1lib.sk, z-lib.sk)",85,80,80,10,5,4,1,6,0.8,0.4,0.5333333333333333,10,10,0,0,1.0,1.0,1.0,20,3,3,0,17,1.0,0.15,0.2608695652173913,20,20,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0039,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,113,76,76,1,0,0,0,1,0.0,0.0,0.0,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0040,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,57,45,44,1,0,0,0,1,0.0,0.0,0.0,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0056,本草求真 清·黄宫绣 篡 席与民 朱肇和 点校 1987年_10461767,346,319,319,45,45,41,4,4,0.9111111111111111,0.9111111111111111,0.9111111111111111,45,45,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0057,随园食单（全本全注全译）中华书局2022,276,401,401,24,21,18,3,6,0.8571428571428571,0.75,0.7999999999999999,24,24,0,0,1.0,1.0,1.0,23,20,0,20,23,0.0,0.0,0.0,23,23,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0059,食物本草_14051796,527,528,528,27,28,20,8,7,0.7142857142857143,0.7407407407407407,0.7272727272727273,27,27,0,0,1.0,1.0,1.0,75,84,40,44,35,0.47619047619047616,0.5333333333333333,0.5031446540880503,75,75,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
Chinese-RoBERTa-CRF_archived,OCR-0060,食鉴本草_14274304,236,229,229,37,37,34,3,3,0.918918918918919,0.918918918918919,0.918918918918919,36,36,0,1,1.0,0.972972972972973,0.9863013698630138,118,81,74,7,44,0.9135802469135802,0.6271186440677966,0.743718592964824,79,79,0,39,1.0,0.6694915254237288,0.8020304568527918,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
